num_acao;num_instancia;c_juiz;c_uf_juiz;c_cid_juiz;num_vara;c_uf_vara;c_cid_vara;c_ganho_causa;num_valor
56268;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;116794.40
91425;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;80788.05
73847;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;13297.61
81571;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;16592.66
115708;1;Eduardo Silveira Mendes;PI;Teresina;2;GO;Anapolis;Funcionario;58259.16
46034;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;87152.29
119420;3;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Empresa;0
102759;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;42162.26
104392;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;153493.61
66807;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;75122.20
110226;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;39059.53
86451;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;51195.96
33020;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;82941.04
85694;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;89182.72
107216;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;61797.50
106405;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;75638.41
5762;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;41514.12
86245;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;15116.75
70675;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;207915.41
67112;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;15019.06
35834;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;49371.54
18122;3;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;89054.53
11539;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;70687.07
105994;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;78272.80
20599;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;95018.50
61965;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;28169.02
49237;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;15800.52
96292;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;27332.96
110500;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;62494.68
10967;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;71510.13
23819;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;110844.17
33206;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;259051.35
26545;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;75681.17
101035;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;35151.51
32566;2;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;65574.95
114997;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;27599.20
94682;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;50112.53
63489;3;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Empresa;0
72070;1;Ricardo Trouchetti;RS;Porto Alegre;3;RN;Natal;Funcionario;16663.71
73394;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;10346.27
63809;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;18061.09
95388;1;Salim Akabar Neto;SP;Osasco;1;PR;Curitiba;Funcionario;16034.34
94784;1;Fabio Nucatti Verberom;ES;Vitoria;2;RS;Porto Alegre;Funcionario;7587.42
59873;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;122615.71
10012;1;Alexssandro Silveira Motta;PR;Curitiba;4;ES;Vitoria;Funcionario;18020.51
5746;1;Jose Bonifacio da Silva;RN;Natal;10;DF;DF;Funcionario;54146.33
76709;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;30118.04
20059;1;Roberto Paulo de Andrade;MS;Campo Grande;5;SP;Sao Paulo;Funcionario;47597.20
38486;1;Anibal Esteves;PE;Recife;2;SP;Santos;Funcionario;72318.75
90757;1;Rodrigo Rodrigues;RR;Boa Bista;5;SP;Sao Paulo;Funcionario;13467.54
85526;1;Paulo Donaterio Santos;SP;Sao Paulo;1;SP;Osasco;Funcionario;28996.57
